variable_code,description
k12enroll_2012,Proportion ofchildren age 3-19 enrolled in K-12 - 2012
k12enroll_2013,Proportion ofchildren age 3-19 enrolled in K-12 - 2013
k12enroll_2014,Proportion ofchildren age 3-19 enrolled in K-12 - 2014
k12enroll_2015,Proportion ofchildren age 3-19 enrolled in K-12 - 2015
k12enroll_2016,Proportion ofchildren age 3-19 enrolled in K-12 - 2016
edu_expenditure_2000,Education Expenditure per pupil - 2000
edu_expenditure_2001,Education Expenditure per pupil - 2001
edu_expenditure_2002,Education Expenditure per pupil - 2002
edu_expenditure_2003,Education Expenditure per pupil - 2003
edu_expenditure_2004,Education Expenditure per pupil - 2004
edu_expenditure_2005,Education Expenditure per pupil - 2005
edu_expenditure_2006,Education Expenditure per pupil - 2006
edu_expenditure_2007,Education Expenditure per pupil - 2007
edu_expenditure_2008,Education Expenditure per pupil - 2008
edu_expenditure_2009,Education Expenditure per pupil - 2009
edu_expenditure_2010,Education Expenditure per pupil - 2010
edu_expenditure_2011,Education Expenditure per pupil - 2011
edu_expenditure_2012,Education Expenditure per pupil - 2012
edu_expenditure_2013,Education Expenditure per pupil - 2013
edu_expenditure_2014,Education Expenditure per pupil - 2014
edu_expenditure_2015,Education Expenditure per pupil - 2015
soc_assist_capita_2000,Government Payments for Social Assistance per capita - 2000
soc_assist_capita_2001,Government Payments for Social Assistance per capita - 2001
soc_assist_capita_2002,Government Payments for Social Assistance per capita - 2002
soc_assist_capita_2003,Government Payments for Social Assistance per capita - 2003
soc_assist_capita_2004,Government Payments for Social Assistance per capita - 2004
soc_assist_capita_2005,Government Payments for Social Assistance per capita - 2005
soc_assist_capita_2006,Government Payments for Social Assistance per capita - 2006
soc_assist_capita_2007,Government Payments for Social Assistance per capita - 2007
soc_assist_capita_2008,Government Payments for Social Assistance per capita - 2008
soc_assist_capita_2009,Government Payments for Social Assistance per capita - 2009
soc_assist_capita_2010,Government Payments for Social Assistance per capita - 2010
soc_assist_capita_2011,Government Payments for Social Assistance per capita - 2011
soc_assist_capita_2012,Government Payments for Social Assistance per capita - 2012
soc_assist_capita_2013,Government Payments for Social Assistance per capita - 2013
soc_assist_capita_2014,Government Payments for Social Assistance per capita - 2014
soc_assist_capita_2015,Government Payments for Social Assistance per capita - 2015
soc_assist_capita_2016,Government Payments for Social Assistance per capita - 2016
%hh_public_assist_2000,Percent receiving public assistance income - 2000
%hh_public_assist_2005,Percent receiving public assistance income - 2005
%hh_public_assist_2006,Percent receiving public assistance income - 2006
%hh_public_assist_2007,Percent receiving public assistance income - 2007
%hh_public_assist_2008,Percent receiving public assistance income - 2008
%hh_public_assist_2009,Percent receiving public assistance income - 2009
%hh_public_assist_2010,Percent receiving public assistance income - 2010
%hh_public_assist_2011,Percent receiving public assistance income - 2011
%hh_public_assist_2012,Percent receiving public assistance income - 2012
%hh_public_assist_2013,Percent receiving public assistance income - 2013
%hh_public_assist_2014,Percent receiving public assistance income - 2014
%hh_public_assist_2015,Percent receiving public assistance income - 2015
%hh_public_assist_2016,Percent receiving public assistance income - 2016
beds_per_thous_2000,"Hospital beds per 1,000 people - 2000"
beds_per_thous_2001,"Hospital beds per 1,000 people - 2001"
beds_per_thous_2002,"Hospital beds per 1,000 people - 2002"
beds_per_thous_2003,"Hospital beds per 1,000 people - 2003"
beds_per_thous_2004,"Hospital beds per 1,000 people - 2004"
beds_per_thous_2005,"Hospital beds per 1,000 people - 2005"
beds_per_thous_2006,"Hospital beds per 1,000 people - 2006"
beds_per_thous_2007,"Hospital beds per 1,000 people - 2007"
beds_per_thous_2008,"Hospital beds per 1,000 people - 2008"
beds_per_thous_2009,"Hospital beds per 1,000 people - 2009"
beds_per_thous_2010,"Hospital beds per 1,000 people - 2010"
beds_per_thous_2011,"Hospital beds per 1,000 people - 2011"
beds_per_thous_2012,"Hospital beds per 1,000 people - 2012"
beds_per_thous_2013,"Hospital beds per 1,000 people - 2013"
beds_per_thous_2014,"Hospital beds per 1,000 people - 2014"
beds_per_thous_2015,"Hospital beds per 1,000 people - 2015"
beds_per_thous_2016,"Hospital beds per 1,000 people - 2016"
beds_per_thous_2018,"Hospital beds per 1,000 people - 2018"
%tele_2000,Percent with telephone access - 2000
%tele_2001,Percent with telephone access - 2001
%tele_2002,Percent with telephone access - 2002
%tele_2003,Percent with telephone access - 2003
%tele_2004,Percent with telephone access - 2004
%tele_2005,Percent with telephone access - 2005
%tele_2006,Percent with telephone access - 2006
%tele_2007,Percent with telephone access - 2007
%tele_2008,Percent with telephone access - 2008
%tele_2009,Percent with telephone access - 2009
%tele_2010,Percent with telephone access - 2010
%tele_2011,Percent with telephone access - 2011
%tele_2012,Percent with telephone access - 2012
%tele_2013,Percent with telephone access - 2013
%tele_2014,Percent with telephone access - 2014
%tele_2015,Percent with telephone access - 2015
%tele_2016,Percent with telephone access - 2016
%internet_2004,Percent with internet access - 2004
%internet_2005,Percent with internet access - 2005
%internet_2006,Percent with internet access - 2006
%internet_2007,Percent with internet access - 2007
%internet_2008,Percent with internet access - 2008
%internet_2009,Percent with internet access - 2009
%internet_2010,Percent with internet access - 2010
%internet_2011,Percent with internet access - 2011
%internet_2012,Percent with internet access - 2012
%internet_2013,Percent with internet access - 2013
%internet_2014,Percent with internet access - 2014
%internet_2015,Percent with internet access - 2015
%internet_2016,Percent with internet access - 2016
%internet_2017,Percent with internet access - 2017
tenure_2000,Median number of years householder has lived in unit - 2000
tenure_2001,Median number of years householder has lived in unit - 2001
tenure_2002,Median number of years householder has lived in unit - 2002
tenure_2003,Median number of years householder has lived in unit - 2003
tenure_2004,Median number of years householder has lived in unit - 2004
tenure_2005,Median number of years householder has lived in unit - 2005
tenure_2006,Median number of years householder has lived in unit - 2006
tenure_2007,Median number of years householder has lived in unit - 2007
tenure_2008,Median number of years householder has lived in unit - 2008
tenure_2009,Median number of years householder has lived in unit - 2009
tenure_2010,Median number of years householder has lived in unit - 2010
tenure_2011,Median number of years householder has lived in unit - 2011
tenure_2012,Median number of years householder has lived in unit - 2012
tenure_2013,Median number of years householder has lived in unit - 2013
tenure_2014,Median number of years householder has lived in unit - 2014
tenure_2015,Median number of years householder has lived in unit - 2015
tenure_2016,Median number of years householder has lived in unit - 2016
life_2000,Life expectancy - 2000
life_2001,Life expectancy - 2001
life_2002,Life expectancy - 2002
life_2003,Life expectancy - 2003
life_2004,Life expectancy - 2004
life_2005,Life expectancy - 2005
life_2006,Life expectancy - 2006
life_2007,Life expectancy - 2007
life_2008,Life expectancy - 2008
life_2009,Life expectancy - 2009
life_2010,Life expectancy - 2010
life_2011,Life expectancy - 2011
life_2012,Life expectancy - 2012
life_2013,Life expectancy - 2013
life_2014,Life expectancy - 2014
life_2015,Life expectancy - 2015
life_2016,Life expectancy - 2016
life_2017,Life expectancy - 2017
infant_2000,"Infant moratlity rate (per 100,000 population) - 2000"
infant_2001,"Infant moratlity rate (per 100,000 population) - 2001"
infant_2002,"Infant moratlity rate (per 100,000 population) - 2002"
infant_2003,"Infant moratlity rate (per 100,000 population) - 2003"
infant_2004,"Infant moratlity rate (per 100,000 population) - 2004"
infant_2005,"Infant moratlity rate (per 100,000 population) - 2005"
infant_2006,"Infant moratlity rate (per 100,000 population) - 2006"
infant_2007,"Infant moratlity rate (per 100,000 population) - 2007"
infant_2008,"Infant moratlity rate (per 100,000 population) - 2008"
infant_2009,"Infant moratlity rate (per 100,000 population) - 2009"
infant_2010,"Infant moratlity rate (per 100,000 population) - 2010"
infant_2011,"Infant moratlity rate (per 100,000 population) - 2011"
infant_2012,"Infant moratlity rate (per 100,000 population) - 2012"
infant_2013,"Infant moratlity rate (per 100,000 population) - 2013"
infant_2014,"Infant moratlity rate (per 100,000 population) - 2014"
infant_2015,"Infant moratlity rate (per 100,000 population) - 2015"
infant_2016,"Infant moratlity rate (per 100,000 population) - 2016"
infant_2017,"Infant moratlity rate (per 100,000 population) - 2017"
physicians_per_thous_1995,"Physicians (per 1,000 people) - 1995"
physicians_per_thous_2000,"Physicians (per 1,000 people) - 2000"
physicians_per_thous_2001,"Physicians (per 1,000 people) - 2001"
physicians_per_thous_2002,"Physicians (per 1,000 people) - 2002"
physicians_per_thous_2003,"Physicians (per 1,000 people) - 2003"
physicians_per_thous_2004,"Physicians (per 1,000 people) - 2004"
physicians_per_thous_2005,"Physicians (per 1,000 people) - 2005"
physicians_per_thous_2006,"Physicians (per 1,000 people) - 2006"
physicians_per_thous_2007,"Physicians (per 1,000 people) - 2007"
physicians_per_thous_2008,"Physicians (per 1,000 people) - 2008"
physicians_per_thous_2009,"Physicians (per 1,000 people) - 2009"
physicians_per_thous_2010,"Physicians (per 1,000 people) - 2010"
physicians_per_thous_2011,"Physicians (per 1,000 people) - 2011"
physicians_per_thous_2012,"Physicians (per 1,000 people) - 2012"
physicians_per_thous_2013,"Physicians (per 1,000 people) - 2013"
physicians_per_thous_2014,"Physicians (per 1,000 people) - 2014"
physicians_per_thous_2015,"Physicians (per 1,000 people) - 2015"
physicians_per_thous_2016,"Physicians (per 1,000 people) - 2016"
death_2000,"Age adjusted death rate (per 1,000 people) - 2000"
death_2001,"Age adjusted death rate (per 1,000 people) - 2001"
death_2002,"Age adjusted death rate (per 1,000 people) - 2002"
death_2003,"Age adjusted death rate (per 1,000 people) - 2003"
death_2004,"Age adjusted death rate (per 1,000 people) - 2004"
death_2005,"Age adjusted death rate (per 1,000 people) - 2005"
death_2006,"Age adjusted death rate (per 1,000 people) - 2006"
death_2007,"Age adjusted death rate (per 1,000 people) - 2007"
death_2008,"Age adjusted death rate (per 1,000 people) - 2008"
death_2009,"Age adjusted death rate (per 1,000 people) - 2009"
death_2010,"Age adjusted death rate (per 1,000 people) - 2010"
death_2011,"Age adjusted death rate (per 1,000 people) - 2011"
death_2012,"Age adjusted death rate (per 1,000 people) - 2012"
death_2013,"Age adjusted death rate (per 1,000 people) - 2013"
death_2014,"Age adjusted death rate (per 1,000 people) - 2014"
death_2015,"Age adjusted death rate (per 1,000 people) - 2015"
death_2016,"Age adjusted death rate (per 1,000 people) - 2016"
insurance_2005,Health insurance coverage rate - 2005
insurance_2006,Health insurance coverage rate - 2006
insurance_2007,Health insurance coverage rate - 2007
insurance_2008,Health insurance coverage rate - 2008
insurance_2009,Health insurance coverage rate - 2009
insurance_2010,Health insurance coverage rate - 2010
insurance_2011,Health insurance coverage rate - 2011
insurance_2012,Health insurance coverage rate - 2012
insurance_2013,Health insurance coverage rate - 2013
insurance_2014,Health insurance coverage rate - 2014
insurance_2015,Health insurance coverage rate - 2015
insurance_2016,Health insurance coverage rate - 2016
insurance_2017,Health insurance coverage rate - 2017
healthy_food_per_thous_2002,"Healthy food outlets per 1,000 people - 2002"
healthy_food_per_thous_2003,"Healthy food outlets per 1,000 people - 2003"
healthy_food_per_thous_2004,"Healthy food outlets per 1,000 people - 2004"
healthy_food_per_thous_2005,"Healthy food outlets per 1,000 people - 2005"
healthy_food_per_thous_2006,"Healthy food outlets per 1,000 people - 2006"
healthy_food_per_thous_2007,"Healthy food outlets per 1,000 people - 2007"
healthy_food_per_thous_2008,"Healthy food outlets per 1,000 people - 2008"
healthy_food_per_thous_2009,"Healthy food outlets per 1,000 people - 2009"
healthy_food_per_thous_2010,"Healthy food outlets per 1,000 people - 2010"
healthy_food_per_thous_2011,"Healthy food outlets per 1,000 people - 2011"
healthy_food_per_thous_2012,"Healthy food outlets per 1,000 people - 2012"
healthy_food_per_thous_2013,"Healthy food outlets per 1,000 people - 2013"
healthy_food_per_thous_2014,"Healthy food outlets per 1,000 people - 2014"
healthy_food_per_thous_2015,"Healthy food outlets per 1,000 people - 2015"
healthy_food_per_thous_2016,"Healthy food outlets per 1,000 people - 2016"
%no_vehicle_2000,Percent of households without vehicle - 2000
%no_vehicle_2001,Percent of households without vehicle - 2001
%no_vehicle_2002,Percent of households without vehicle - 2002
%no_vehicle_2003,Percent of households without vehicle - 2003
%no_vehicle_2004,Percent of households without vehicle - 2004
%no_vehicle_2005,Percent of households without vehicle - 2005
%no_vehicle_2006,Percent of households without vehicle - 2006
%no_vehicle_2007,Percent of households without vehicle - 2007
%no_vehicle_2008,Percent of households without vehicle - 2008
%no_vehicle_2009,Percent of households without vehicle - 2009
%no_vehicle_2010,Percent of households without vehicle - 2010
%no_vehicle_2011,Percent of households without vehicle - 2011
%no_vehicle_2012,Percent of households without vehicle - 2012
%no_vehicle_2013,Percent of households without vehicle - 2013
%no_vehicle_2014,Percent of households without vehicle - 2014
%no_vehicle_2015,Percent of households without vehicle - 2015
%no_vehicle_2016,Percent of households without vehicle - 2016
%imp_cover_2010,Percent impervious cover - 2010
%imp_cover_2011,Percent impervious cover - 2011
%imp_cover_2012,Percent impervious cover - 2012
%imp_cover_2016,Percent impervious cover - 2016
%days_affected_2000,Percent of beach days affected by notification actions at monitored beaches - 2000
%days_affected_2001,Percent of beach days affected by notification actions at monitored beaches - 2001
%days_affected_2002,Percent of beach days affected by notification actions at monitored beaches - 2002
%days_affected_2003,Percent of beach days affected by notification actions at monitored beaches - 2003
%days_affected_2004,Percent of beach days affected by notification actions at monitored beaches - 2004
%days_affected_2005,Percent of beach days affected by notification actions at monitored beaches - 2005
%days_affected_2006,Percent of beach days affected by notification actions at monitored beaches - 2006
%days_affected_2007,Percent of beach days affected by notification actions at monitored beaches - 2007
%days_affected_2008,Percent of beach days affected by notification actions at monitored beaches - 2008
%days_affected_2009,Percent of beach days affected by notification actions at monitored beaches - 2009
%days_affected_2010,Percent of beach days affected by notification actions at monitored beaches - 2010
%days_affected_2011,Percent of beach days affected by notification actions at monitored beaches - 2011
%days_affected_2012,Percent of beach days affected by notification actions at monitored beaches - 2012
%days_affected_2013,Percent of beach days affected by notification actions at monitored beaches - 2013
%days_affected_2014,Percent of beach days affected by notification actions at monitored beaches - 2014
%days_affected_2015,Percent of beach days affected by notification actions at monitored beaches - 2015
%days_affected_2016,Percent of beach days affected by notification actions at monitored beaches - 2016
%days_affected_2017,Percent of beach days affected by notification actions at monitored beaches - 2017
%coast_impaired_2016,% coastal shoreline miles impaired - 2016
%coast_impaired_2018,% coastal shoreline miles impaired - 2018
%cult_2010,Percentage of cultivated land area - 2010
%cult_2011,Percentage of cultivated land area - 2011
%cult_2012,Percentage of cultivated land area - 2012
%cult_2016,Percentage of cultivated land area - 2016
%noplumb_2000,Percentage of households with out complete plumbing facilities - 2000
%noplumb_2005,Percentage of households with out complete plumbing facilities - 2005
%noplumb_2006,Percentage of households with out complete plumbing facilities - 2006
%noplumb_2007,Percentage of households with out complete plumbing facilities - 2007
%noplumb_2008,Percentage of households with out complete plumbing facilities - 2008
%noplumb_2009,Percentage of households with out complete plumbing facilities - 2009
%noplumb_2010,Percentage of households with out complete plumbing facilities - 2010
%noplumb_2011,Percentage of households with out complete plumbing facilities - 2011
%noplumb_2012,Percentage of households with out complete plumbing facilities - 2012
%noplumb_2013,Percentage of households with out complete plumbing facilities - 2013
%noplumb_2014,Percentage of households with out complete plumbing facilities - 2014
%noplumb_2015,Percentage of households with out complete plumbing facilities - 2015
%noplumb_2016,Percentage of households with out complete plumbing facilities - 2016
%noplumb_2017,Percentage of households with out complete plumbing facilities - 2017
bldg_perm_2000,Number of construction permits - 2000
bldg_perm_2001,Number of construction permits - 2001
bldg_perm_2002,Number of construction permits - 2002
bldg_perm_2003,Number of construction permits - 2003
bldg_perm_2004,Number of construction permits - 2004
bldg_perm_2005,Number of construction permits - 2005
bldg_perm_2006,Number of construction permits - 2006
bldg_perm_2007,Number of construction permits - 2007
bldg_perm_2008,Number of construction permits - 2008
bldg_perm_2009,Number of construction permits - 2009
bldg_perm_2010,Number of construction permits - 2010
bldg_perm_2011,Number of construction permits - 2011
bldg_perm_2012,Number of construction permits - 2012
bldg_perm_2013,Number of construction permits - 2013
bldg_perm_2014,Number of construction permits - 2014
bldg_perm_2015,Number of construction permits - 2015
bldg_perm_2016,Number of construction permits - 2016
bldg_perm_2017,Number of construction permits - 2017
NPDES_2000,Number of effective NPDES permits - 2000
NPDES_2001,Number of effective NPDES permits - 2001
NPDES_2002,Number of effective NPDES permits - 2002
NPDES_2003,Number of effective NPDES permits - 2003
NPDES_2004,Number of effective NPDES permits - 2004
NPDES_2005,Number of effective NPDES permits - 2005
NPDES_2006,Number of effective NPDES permits - 2006
NPDES_2007,Number of effective NPDES permits - 2007
NPDES_2008,Number of effective NPDES permits - 2008
NPDES_2009,Number of effective NPDES permits - 2009
NPDES_2010,Number of effective NPDES permits - 2010
NPDES_2011,Number of effective NPDES permits - 2011
NPDES_2012,Number of effective NPDES permits - 2012
NPDES_2013,Number of effective NPDES permits - 2013
NPDES_2014,Number of effective NPDES permits - 2014
NPDES_2015,Number of effective NPDES permits - 2015
NPDES_2016,Number of effective NPDES permits - 2016
NPDES_2017,Number of effective NPDES permits - 2017
releases_2000,Total toxic releases - 2000
releases_2001,Total toxic releases - 2001
releases_2002,Total toxic releases - 2002
releases_2003,Total toxic releases - 2003
releases_2004,Total toxic releases - 2004
releases_2005,Total toxic releases - 2005
releases_2006,Total toxic releases - 2006
releases_2007,Total toxic releases - 2007
releases_2008,Total toxic releases - 2008
releases_2009,Total toxic releases - 2009
releases_2010,Total toxic releases - 2010
releases_2011,Total toxic releases - 2011
releases_2012,Total toxic releases - 2012
releases_2013,Total toxic releases - 2013
releases_2014,Total toxic releases - 2014
releases_2015,Total toxic releases - 2015
releases_2016,Total toxic releases - 2016
releases_2017,Total toxic releases - 2017
landfills_2000,Number of operating landfills - 2000
landfills_2001,Number of operating landfills - 2001
landfills_2002,Number of operating landfills - 2002
landfills_2003,Number of operating landfills - 2003
landfills_2004,Number of operating landfills - 2004
landfills_2005,Number of operating landfills - 2005
landfills_2006,Number of operating landfills - 2006
landfills_2007,Number of operating landfills - 2007
landfills_2008,Number of operating landfills - 2008
landfills_2009,Number of operating landfills - 2009
landfills_2010,Number of operating landfills - 2010
landfills_2011,Number of operating landfills - 2011
landfills_2012,Number of operating landfills - 2012
landfills_2013,Number of operating landfills - 2013
landfills_2014,Number of operating landfills - 2014
landfills_2015,Number of operating landfills - 2015
landfills_2016,Number of operating landfills - 2016
landfills_2017,Number of operating landfills - 2017
DOD_2000,Area of military bases/installations - 2000
DOD_2001,Area of military bases/installations - 2001
DOD_2002,Area of military bases/installations - 2002
DOD_2003,Area of military bases/installations - 2003
DOD_2004,Area of military bases/installations - 2004
DOD_2005,Area of military bases/installations - 2005
DOD_2006,Area of military bases/installations - 2006
DOD_2007,Area of military bases/installations - 2007
DOD_2008,Area of military bases/installations - 2008
DOD_2009,Area of military bases/installations - 2009
DOD_2010,Area of military bases/installations - 2010
DOD_2011,Area of military bases/installations - 2011
DOD_2012,Area of military bases/installations - 2012
DOD_2013,Area of military bases/installations - 2013
DOD_2014,Area of military bases/installations - 2014
DOD_2016,Area of military bases/installations - 2016
DOD_2017,Area of military bases/installations - 2017
%DOD_2000,Percent of total area dedicated to military bases/installations - 2000
%DOD_2001,Percent of total area dedicated to military bases/installations - 2001
%DOD_2002,Percent of total area dedicated to military bases/installations - 2002
%DOD_2003,Percent of total area dedicated to military bases/installations - 2003
%DOD_2004,Percent of total area dedicated to military bases/installations - 2004
%DOD_2005,Percent of total area dedicated to military bases/installations - 2005
%DOD_2006,Percent of total area dedicated to military bases/installations - 2006
%DOD_2007,Percent of total area dedicated to military bases/installations - 2007
%DOD_2008,Percent of total area dedicated to military bases/installations - 2008
%DOD_2009,Percent of total area dedicated to military bases/installations - 2009
%DOD_2010,Percent of total area dedicated to military bases/installations - 2010
%DOD_2011,Percent of total area dedicated to military bases/installations - 2011
%DOD_2012,Percent of total area dedicated to military bases/installations - 2012
%DOD_2013,Percent of total area dedicated to military bases/installations - 2013
%DOD_2014,Percent of total area dedicated to military bases/installations - 2014
%DOD_2016,Percent of total area dedicated to military bases/installations - 2016
%DOD_2017,Percent of total area dedicated to military bases/installations - 2017
landarea,total area of land
coast,Total linear miles of coastline
bldg_perm_per_coast_2000,number of construction permits per mile of coastline - 2000
bldg_perm_per_coast_2001,number of construction permits per mile of coastline - 2001
bldg_perm_per_coast_2002,number of construction permits per mile of coastline - 2002
bldg_perm_per_coast_2003,number of construction permits per mile of coastline - 2003
bldg_perm_per_coast_2004,number of construction permits per mile of coastline - 2004
bldg_perm_per_coast_2005,number of construction permits per mile of coastline - 2005
bldg_perm_per_coast_2006,number of construction permits per mile of coastline - 2006
bldg_perm_per_coast_2007,number of construction permits per mile of coastline - 2007
bldg_perm_per_coast_2008,number of construction permits per mile of coastline - 2008
bldg_perm_per_coast_2009,number of construction permits per mile of coastline - 2009
bldg_perm_per_coast_2010,number of construction permits per mile of coastline - 2010
bldg_perm_per_coast_2011,number of construction permits per mile of coastline - 2011
bldg_perm_per_coast_2012,number of construction permits per mile of coastline - 2012
bldg_perm_per_coast_2013,number of construction permits per mile of coastline - 2013
bldg_perm_per_coast_2014,number of construction permits per mile of coastline - 2014
bldg_perm_per_coast_2015,number of construction permits per mile of coastline - 2015
bldg_perm_per_coast_2016,number of construction permits per mile of coastline - 2016
bldg_perm_per_coast_2017,number of construction permits per mile of coastline - 2017
NPDES_per_coast_2000,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2001,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2002,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2003,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2004,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2005,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2006,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2007,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2008,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2009,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2010,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2011,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2012,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2013,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2014,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2015,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2016,number of effective NPDES permits per mile of coastline
NPDES_per_coast_2017,number of effective NPDES permits per mile of coastline
Releases_per_coast_2000,Toxic releases per mile of coastline
Releases_per_coast_2001,Toxic releases per mile of coastline
Releases_per_coast_2002,Toxic releases per mile of coastline
Releases_per_coast_2003,Toxic releases per mile of coastline
Releases_per_coast_2004,Toxic releases per mile of coastline
Releases_per_coast_2005,Toxic releases per mile of coastline
Releases_per_coast_2006,Toxic releases per mile of coastline
Releases_per_coast_2007,Toxic releases per mile of coastline
Releases_per_coast_2008,Toxic releases per mile of coastline
Releases_per_coast_2009,Toxic releases per mile of coastline
Releases_per_coast_2010,Toxic releases per mile of coastline
Releases_per_coast_2011,Toxic releases per mile of coastline
Releases_per_coast_2012,Toxic releases per mile of coastline
Releases_per_coast_2013,Toxic releases per mile of coastline
Releases_per_coast_2014,Toxic releases per mile of coastline
Releases_per_coast_2015,Toxic releases per mile of coastline
Releases_per_coast_2016,Toxic releases per mile of coastline
Releases_per_coast_2017,Toxic releases per mile of coastline
landfills_per_coast_2000,Number of operating landfills per mile of coastline
landfills_per_coast_2001,Number of operating landfills per mile of coastline
landfills_per_coast_2002,Number of operating landfills per mile of coastline
landfills_per_coast_2003,Number of operating landfills per mile of coastline
landfills_per_coast_2004,Number of operating landfills per mile of coastline
landfills_per_coast_2005,Number of operating landfills per mile of coastline
landfills_per_coast_2006,Number of operating landfills per mile of coastline
landfills_per_coast_2007,Number of operating landfills per mile of coastline
landfills_per_coast_2008,Number of operating landfills per mile of coastline
landfills_per_coast_2009,Number of operating landfills per mile of coastline
landfills_per_coast_2010,Number of operating landfills per mile of coastline
landfills_per_coast_2011,Number of operating landfills per mile of coastline
landfills_per_coast_2012,Number of operating landfills per mile of coastline
landfills_per_coast_2013,Number of operating landfills per mile of coastline
landfills_per_coast_2014,Number of operating landfills per mile of coastline
landfills_per_coast_2015,Number of operating landfills per mile of coastline
landfills_per_coast_2016,Number of operating landfills per mile of coastline
landfills_per_coast_2017,Number of operating landfills per mile of coastline
mng_plan_2011,Average score on a 1-3 scale for Management Planning in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
ecological_2011,Average score on a 1-3 scale for Ecological Network Development in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
governance_2011,Average score on a 1-3 scale for Governance in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
onsite_2011,Average score on a 1-3 scale for On-Site Management in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
enf_2011,Average score on a 1-3 scale for Enforcement in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
bound_2011,Average score on a 1-3 scale for Boundaries in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
bio_mon_2011,Average score on a 1-3 scale for Biophysical Monitoring in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
scio_mon_2011,Average score on a 1-3 scale for Socio-economic Monitoring in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
effectiveness_2011,Average score on a 1-3 scale for MPA Effectiveness Evaluation in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
stake_2011,Average score on a 1-3 scale for Stakeholder Engagement in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
finance_2011,Average score on a 1-3 scale for Financing in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
outreach_2011,Average score on a 1-3 scale for Outreach and Education in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
conflict_2011,Average score on a 1-3 scale for Conflict Resolution Mechanism in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
climate_2011,Average score on a 1-3 scale for Climate Change Resilience in MPAs assessed in the jurisdiction - 2011 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
mng_plan_2014,Average score on a 1-3 scale for Management Planning in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
ecological_2014,Average score on a 1-3 scale for Ecological Network Development in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
governance_2014,Average score on a 1-3 scale for Governance in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
onsite_2014,Average score on a 1-3 scale for On-Site Management in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
enf_2014,Average score on a 1-3 scale for Enforcement in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
bound_2014,Average score on a 1-3 scale for Boundaries in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
bio_mon_2014,Average score on a 1-3 scale for Biophysical Monitoring in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
scio_mon_2014,Average score on a 1-3 scale for Socio-economic Monitoring in MPAs assessed in the jurisdiction - 2014 (1 = 2 steps away from target; 2 = meets target; 3 = exceeds target)
