Variable,Hawaii data,category_text,category_numeric,date,data source(s),units
tourism_estbl_07,"3,592",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;17,number of businesses
tourism_estbl_08,"3,623",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;17,number of businesses
tourism_estbl_09,"3,624",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;17,number of businesses
tourism_estbl_10,"3,682",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;17,number of businesses
tourism_estbl_11,"3,653",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;17,number of businesses
tourism_estbl_12,"3,723",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;17,number of businesses
tourism_estbl_13,"3,746",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;17,number of businesses
tourism_estbl_14,"3,773",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;17,number of businesses
tourism_estbl_15,"3,893",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;17,number of businesses
tourism_estbl_16,"3,916",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;17,number of businesses
tourism_GDP_prop_05,8.40%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;17;18;19;3;12,percent
tourism_GDP_prop_06,8.48%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;17;18;19;3;12,percent
tourism_GDP_prop_07,8.35%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;17;18;19;3;12,percent
tourism_GDP_prop_08,7.72%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;17;18;19;3;12,percent
tourism_GDP_prop_09,7.08%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;17;18;19;3;12,percent
tourism_GDP_prop_10,7.12%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;17;18;19;3;12,percent
tourism_GDP_prop_11,7.59%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;17;18;19;3;12,percent
tourism_GDP_prop_12,7.99%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;17;18;19;3;12,percent
tourism_GDP_prop_13,8.29%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;17;18;19;3;12,percent
tourism_GDP_prop_14,8.39%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;17;18;19;3;12,percent
tourism_GDP_prop_15,8.50%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;17;18;19;3;12,percent
tourism_GDP_prop_16,.,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;17;18;19;3;12,percent
tourism_emp_prop_05,13.76%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;14;20,percent
tourism_emp_prop_06,13.69%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;14;20,percent
tourism_emp_prop_07,13.69%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;14;20,percent
tourism_emp_prop_08,13.52%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;14;20,percent
tourism_emp_prop_09,13.30%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;14;20,percent
tourism_emp_prop_10,13.37%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;14;20,percent
tourism_emp_prop_11,13.55%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;14;20,percent
tourism_emp_prop_12,13.74%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;14;20,percent
tourism_emp_prop_13,13.95%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;14;20,percent
tourism_emp_prop_14,13.99%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;14;20,percent
tourism_emp_prop_15,13.94%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;14;20,percent
tourism_emp_prop_16,14.65%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;14;20,percent
tourism_estbl_prop_05,9.53%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;14;20,percent
tourism_estbl_prop_06,9.55%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;14;20,percent
tourism_estbl_prop_07,9.44%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;14;20,percent
tourism_estbl_prop_08,9.40%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;14;20,percent
tourism_estbl_prop_09,9.33%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;14;20,percent
tourism_estbl_prop_10,9.65%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;14;20,percent
tourism_estbl_prop_11,9.68%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;14;20,percent
tourism_estbl_prop_12,9.82%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;14;20,percent
tourism_estbl_prop_13,9.82%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;14;20,percent
tourism_estbl_prop_14,9.82%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;14;20,percent
tourism_estbl_prop_15,9.96%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;14;20,percent
tourism_estbl_prop_16,9.85%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;14;20,percent
vis_spending_05,"$14,385,719,922.70 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_06,"$14,673,464,902.73 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_07,"$14,681,112,325.07 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_08,"$12,802,195,242.41 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_09,"$11,128,730,192.78 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_10,"$12,317,241,392.08 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_11,"$13,254,377,091.01 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_12,"$15,320,708,039.60 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_13,"$15,225,957,008.02 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_14,"$15,418,217,750.63 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_15,"$15,388,839,684.87 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,5;16;19;21;22;23,Year 2017 US Dollars
vis_spending_16,"$16,052,814,059.64 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,5;16;19;21;22;23,Year 2017 US Dollars
prop_vis_spending_05,28.59%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,5;16;19;21;22;23,percent
prop_vis_spending_06,27.96%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,5;16;19;21;22;23,percent
prop_vis_spending_07,27.34%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,5;16;19;21;22;23,percent
prop_vis_spending_08,23.29%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,5;16;19;21;22;23,percent
prop_vis_spending_09,20.48%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,5;16;19;21;22;23,percent
prop_vis_spending_10,22.11%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,5;16;19;21;22;23,percent
prop_vis_spending_11,23.28%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,5;16;19;21;22;23,percent
prop_vis_spending_12,26.22%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,5;16;19;21;22;23,percent
prop_vis_spending_13,25.59%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,5;16;19;21;22;23,percent
prop_vis_spending_14,25.15%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,5;16;19;21;22;23,percent
prop_vis_spending_15,24.36%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,5;16;19;21;22;23,percent
prop_vis_spending_16,24.44%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,5;16;19;21;22;23,percent
hotel_occ_05,81.10%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,5;16;19;21;22;23,percent
hotel_occ_06,79.50%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,16;23;24;25;26,percent
hotel_occ_07,75.00%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,16;23;24;25;26,percent
hotel_occ_08,70.40%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,16;23;24;25;26,percent
hotel_occ_09,64.80%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,16;23;24;25;26,percent
hotel_occ_10,70.70%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,16;23;24;25;26,percent
hotel_occ_11,73.20%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,16;23;24;25;26,percent
hotel_occ_12,76.90%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,16;23;24;25;26,percent
hotel_occ_13,76.50%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,16;23;24;25;26,percent
hotel_occ_14,77.00%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,16;23;24;25;26,percent
hotel_occ_15,78.70%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,16;23;24;25;26,percent
hotel_occ_16,79.00%,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,16;23;24;25;26,percent
NPS_total_val_12,"$267,711,040.00 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,Year 2017 US Dollars
NPS_total_val_13,"$260,972,021.03 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,Year 2017 US Dollars
NPS_total_val_14,"$282,155,748.46 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,Year 2017 US Dollars
NPS_total_val_15,"$297,712,278.96 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,Year 2017 US Dollars
NPS_total_val_16,"$318,947,694.34 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,Year 2017 US Dollars
NPS_coral_val_12,"$35,622,840.00 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,Year 2017 US Dollars
NPS_coral_val_13,"$33,841,493.78 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,Year 2017 US Dollars
NPS_coral_val_14,"$34,774,915.12 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,Year 2017 US Dollars
NPS_coral_val_15,"$37,703,354.36 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,Year 2017 US Dollars
NPS_coral_val_16,"$38,110,682.97 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,Year 2017 US Dollars
NPS_spending_12,"$340,036,200.00 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,Year 2017 US Dollars
NPS_spending_13,"$330,988,904.72 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,Year 2017 US Dollars
NPS_spending_14,"$355,037,307.10 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,Year 2017 US Dollars
NPS_spending_15,"$376,003,397.30 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,Year 2017 US Dollars
NPS_spending_16,"$401,486,874.03 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,Year 2017 US Dollars
NPS_coral_spending_12,"$45,877,900.00 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,Year 2017 US Dollars
NPS_coral_spending_13,"$43,707,509.21 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,Year 2017 US Dollars
NPS_coral_spending_14,"$44,249,517.75 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,Year 2017 US Dollars
NPS_coral_spending_15,"$48,107,831.93 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,Year 2017 US Dollars
NPS_coral_spending_16,"$48,606,405.81 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,Year 2017 US Dollars
NPS_emp_12,"3,720",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,number of people
NPS_emp_13,"3,670",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,number of people
NPS_emp_14,"4,200",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,number of people
NPS_emp_15,"4,460",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,number of people
NPS_emp_16,"4,790",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,number of people
NPS_coral_emp_12,508,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,27,number of people
NPS_coral_emp_13,488,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,27,number of people
NPS_coral_emp_14,539,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,27,number of people
NPS_coral_emp_15,591,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,27,number of people
NPS_coral_emp_16,603,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,27,number of people
pov_2000,8.90%,Community well-being,8,1/1/00,1;2;16;28;26;29;30,percent
pov_2001,11.40%,Community well-being,8,1/1/01,1;2;16;28;26;29;30,percent
pov_2002,11.30%,Community well-being,8,1/1/02,1;2;16;28;26;29;30,percent
pov_2003,9.30%,Community well-being,8,1/1/03,1;2;16;28;26;29;30,percent
pov_2004,8.60%,Community well-being,8,1/1/04,1;2;16;28;26;29;30,percent
pov_2005,8.60%,Community well-being,8,1/1/05,1;2;16;28;26;29;30,percent
pov_2006,9.20%,Community well-being,8,1/1/06,1;2;16;28;26;29;30,percent
pov_2007,7.50%,Community well-being,8,1/1/07,1;2;16;28;26;29;30,percent
pov_2008,9.90%,Community well-being,8,1/1/08,1;2;16;28;26;29;30,percent
pov_2009,12.50%,Community well-being,8,1/1/09,1;2;16;28;26;29;30,percent
pov_2010,12.40%,Community well-being,8,1/1/10,1;2;16;28;26;29;30,percent
pov_2011,12.10%,Community well-being,8,1/1/11,1;2;16;28;26;29;30,percent
pov_2012,13.83%,Community well-being,8,1/1/12,1;2;16;28;26;29;30,percent
pov_2013,10.60%,Community well-being,8,1/1/13,1;2;16;28;26;29;30,percent
pov_2014,10.80%,Community well-being,8,1/1/14,1;2;16;28;26;29;30,percent
pov_2015,10.90%,Community well-being,8,1/1/15,1;2;16;28;26;29;30,percent
pov_2016,9.30%,Community well-being,8,1/1/16,1;2;16;28;26;29;30,percent
hhinc_2000,"$71,265.75 ",Community well-being,8,1/1/00,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2001,"$64,180.29 ",Community well-being,8,1/1/01,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2002,"$62,999.85 ",Community well-being,8,1/1/02,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2003,"$67,775.92 ",Community well-being,8,1/1/03,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2004,"$71,611.36 ",Community well-being,8,1/1/04,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2005,"$73,577.17 ",Community well-being,8,1/1/05,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2006,"$72,475.91 ",Community well-being,8,1/1/06,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2007,"$74,725.33 ",Community well-being,8,1/1/07,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2008,"$70,436.11 ",Community well-being,8,1/1/08,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2009,"$63,231.00 ",Community well-being,8,1/1/09,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2010,"$66,871.80 ",Community well-being,8,1/1/10,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2011,"$64,962.65 ",Community well-being,8,1/1/11,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2012,"$60,734.78 ",Community well-being,8,1/1/12,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2013,"$68,144.46 ",Community well-being,8,1/1/13,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2014,"$74,154.90 ",Community well-being,8,1/1/14,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2015,"$66,458.86 ",Community well-being,8,1/1/15,1;2;16;28;26;29;30;31,Year 2017 US Dollars
hhinc_2016,"$73,503.69 ",Community well-being,8,1/1/16,1;2;16;28;26;29;30;31,Year 2017 US Dollars
unemp_2000,4.25%,Community well-being,8,1/1/00,16;26;30;32;33;34;23,percent
unemp_2001,4.51%,Community well-being,8,1/1/01,16;26;30;32;33;34;23,percent
unemp_2002,4.22%,Community well-being,8,1/1/02,16;26;30;32;33;34;23,percent
unemp_2003,4.12%,Community well-being,8,1/1/03,16;26;30;32;33;34;23,percent
unemp_2004,3.38%,Community well-being,8,1/1/04,16;26;30;32;33;34;23,percent
unemp_2005,2.85%,Community well-being,8,1/1/05,16;26;30;32;33;34;23,percent
unemp_2006,2.61%,Community well-being,8,1/1/06,16;26;30;32;33;34;23,percent
unemp_2007,2.79%,Community well-being,8,1/1/07,16;26;30;32;33;34;23,percent
unemp_2008,4.31%,Community well-being,8,1/1/08,16;26;30;32;33;34;23,percent
unemp_2009,7.15%,Community well-being,8,1/1/09,16;26;30;32;33;34;23,percent
unemp_2010,6.94%,Community well-being,8,1/1/10,16;26;30;32;33;34;23,percent
unemp_2011,6.83%,Community well-being,8,1/1/11,16;26;30;32;33;34;23,percent
unemp_2012,6.00%,Community well-being,8,1/1/12,16;26;30;32;33;34;23,percent
unemp_2013,4.90%,Community well-being,8,1/1/13,16;26;30;32;33;34;23,percent
unemp_2014,4.35%,Community well-being,8,1/1/14,16;26;30;32;33;34;23,percent
unemp_2015,3.57%,Community well-being,8,1/1/15,16;26;30;32;33;34;23,percent
unemp_2016,2.95%,Community well-being,8,1/1/16,16;26;30;32;33;34;23,percent
unemp_2017,.,Community well-being,8,1/1/17,16;26;30;32;33;34;23,percent
med_home_val_2000,"$359,467.20 ",Community well-being,8,1/1/00,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2001,"$363,862.82 ",Community well-being,8,1/1/01,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2002,"$412,869.27 ",Community well-being,8,1/1/02,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2003,"$470,720.59 ",Community well-being,8,1/1/03,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2004,"$560,239.68 ",Community well-being,8,1/1/04,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2005,"$691,491.52 ",Community well-being,8,1/1/05,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2006,"$718,086.84 ",Community well-being,8,1/1/06,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2007,"$694,473.33 ",Community well-being,8,1/1/07,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2008,"$641,150.55 ",Community well-being,8,1/1/08,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2009,"$565,566.89 ",Community well-being,8,1/1/09,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2010,"$546,978.76 ",Community well-being,8,1/1/10,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2011,"$517,087.18 ",Community well-being,8,1/1/11,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2012,"$539,740.00 ",Community well-being,8,1/1/12,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2013,"$578,169.72 ",Community well-being,8,1/1/13,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2014,"$598,669.95 ",Community well-being,8,1/1/14,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2015,"$618,087.78 ",Community well-being,8,1/1/15,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2016,"$644,518.90 ",Community well-being,8,1/1/16,2;16;26;35;36;29;30,Year 2017 US Dollars
med_home_val_2017,.,Community well-being,8,1/1/17,2;16;26;35;36;29;30,Year 2017 US Dollars
HS_2000,84.60%,Community well-being,8,1/1/00,1;2;26;29;30,percent
HS_2001,89.10%,Community well-being,8,1/1/01,1;2;26;29;30,percent
HS_2002,87.90%,Community well-being,8,1/1/02,1;2;26;29;30,percent
HS_2003,88.50%,Community well-being,8,1/1/03,1;2;26;29;30,percent
HS_2004,88.00%,Community well-being,8,1/1/04,1;2;26;29;30,percent
HS_2005,88.00%,Community well-being,8,1/1/05,1;2;26;29;30,percent
HS_2006,89.00%,Community well-being,8,1/1/06,1;2;26;29;30,percent
HS_2007,89.40%,Community well-being,8,1/1/07,1;2;26;29;30,percent
HS_2008,90.30%,Community well-being,8,1/1/08,1;2;26;29;30,percent
HS_2009,90.40%,Community well-being,8,1/1/09,1;2;26;29;30,percent
HS_2010,89.90%,Community well-being,8,1/1/10,1;2;26;29;30,percent
HS_2011,90.60%,Community well-being,8,1/1/11,1;2;26;29;30,percent
HS_2012,90.40%,Community well-being,8,1/1/12,1;2;26;29;30,percent
HS_2013,91.00%,Community well-being,8,1/1/13,1;2;26;29;30,percent
HS_2014,91.70%,Community well-being,8,1/1/14,1;2;26;29;30,percent
HS_2015,90.90%,Community well-being,8,1/1/15,1;2;26;29;30,percent
HS_2016,92.00%,Community well-being,8,1/1/16,1;2;26;29;30,percent
HS_2017,.,Community well-being,8,1/1/17,1;2;26;29;30,percent
bach_2000,26.20%,Community well-being,8,1/1/00,1;2;26;29;30;23,percent
bach_2001,27.90%,Community well-being,8,1/1/01,1;2;26;29;30;23,percent
bach_2002,26.80%,Community well-being,8,1/1/02,1;2;26;29;30;23,percent
bach_2003,27.00%,Community well-being,8,1/1/03,1;2;26;29;30;23,percent
bach_2004,26.60%,Community well-being,8,1/1/04,1;2;26;29;30;23,percent
bach_2005,27.90%,Community well-being,8,1/1/05,1;2;26;29;30;23,percent
bach_2006,29.70%,Community well-being,8,1/1/06,1;2;26;29;30;23,percent
bach_2007,29.20%,Community well-being,8,1/1/07,1;2;26;29;30;23,percent
bach_2008,29.10%,Community well-being,8,1/1/08,1;2;26;29;30;23,percent
bach_2009,29.60%,Community well-being,8,1/1/09,1;2;26;29;30;23,percent
bach_2010,29.50%,Community well-being,8,1/1/10,1;2;26;29;30;23,percent
bach_2011,29.10%,Community well-being,8,1/1/11,1;2;26;29;30;23,percent
bach_2012,30.10%,Community well-being,8,1/1/12,1;2;26;29;30;23,percent
bach_2013,31.20%,Community well-being,8,1/1/13,1;2;26;29;30;23,percent
bach_2014,31.00%,Community well-being,8,1/1/14,1;2;26;29;30;23,percent
bach_2015,31.40%,Community well-being,8,1/1/15,1;2;26;29;30;23,percent
bach_2016,31.90%,Community well-being,8,1/1/16,1;2;26;29;30;23,percent
bach_2017,.,Community well-being,8,1/1/17,1;2;26;29;30;23,percent
k12enroll_2000,87.47%,Community well-being,8,1/1/00,1;2;30,percent
k12enroll_2001,.,Community well-being,8,1/1/01,1;2;30,percent
k12enroll_2002,.,Community well-being,8,1/1/02,1;2;30,percent
k12enroll_2003,.,Community well-being,8,1/1/03,1;2;30,percent
k12enroll_2004,.,Community well-being,8,1/1/04,1;2;30,percent
k12enroll_2005,87.33%,Community well-being,8,1/1/05,1;2;30,percent
k12enroll_2006,86.78%,Community well-being,8,1/1/06,1;2;30,percent
k12enroll_2007,87.19%,Community well-being,8,1/1/07,1;2;30,percent
k12enroll_2008,86.28%,Community well-being,8,1/1/08,1;2;30,percent
k12enroll_2009,87.40%,Community well-being,8,1/1/09,1;2;30,percent
k12enroll_2010,87.82%,Community well-being,8,1/1/10,1;2;30,percent
k12enroll_2011,86.70%,Community well-being,8,1/1/11,1;2;30,percent
k12enroll_2012,86.85%,Community well-being,8,1/1/12,1;2;30,percent
k12enroll_2013,86.42%,Community well-being,8,1/1/13,1;2;30,percent
k12enroll_2014,86.97%,Community well-being,8,1/1/14,1;2;30,percent
k12enroll_2015,85.63%,Community well-being,8,1/1/15,1;2;30,percent
k12enroll_2016,85.43%,Community well-being,8,1/1/16,1;2;30,percent
edu_expenditure_2000,"10,466.03",Community well-being,8,1/1/00,37,Year 2017 US Dollars
edu_expenditure_2001,"10,348.34",Community well-being,8,1/1/01,37,Year 2017 US Dollars
edu_expenditure_2002,"10,703.97",Community well-being,8,1/1/02,37,Year 2017 US Dollars
edu_expenditure_2003,"11,792.86",Community well-being,8,1/1/03,37,Year 2017 US Dollars
edu_expenditure_2004,"12,287.07",Community well-being,8,1/1/04,37,Year 2017 US Dollars
edu_expenditure_2005,"12,170.25",Community well-being,8,1/1/05,37,Year 2017 US Dollars
edu_expenditure_2006,"13,283.46",Community well-being,8,1/1/06,37,Year 2017 US Dollars
edu_expenditure_2007,"14,855.89",Community well-being,8,1/1/07,37,Year 2017 US Dollars
edu_expenditure_2008,"14,907.90",Community well-being,8,1/1/08,37,Year 2017 US Dollars
edu_expenditure_2009,"15,343.88",Community well-being,8,1/1/09,37,Year 2017 US Dollars
edu_expenditure_2010,"14,484.27",Community well-being,8,1/1/10,37,Year 2017 US Dollars
edu_expenditure_2011,"14,351.92",Community well-being,8,1/1/11,37,Year 2017 US Dollars
edu_expenditure_2012,"14,365.72",Community well-being,8,1/1/12,37,Year 2017 US Dollars
edu_expenditure_2013,"13,384.89",Community well-being,8,1/1/13,37,Year 2017 US Dollars
edu_expenditure_2014,"13,955.78",Community well-being,8,1/1/14,37,Year 2017 US Dollars
edu_expenditure_2015,"14,239.71",Community well-being,8,1/1/15,37,Year 2017 US Dollars
soc_assist_capita_2000,"$1,159.97 ",Community well-being,8,1/1/00,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2001,"$1,129.67 ",Community well-being,8,1/1/01,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2002,"$1,194.66 ",Community well-being,8,1/1/02,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2003,"$1,269.64 ",Community well-being,8,1/1/03,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2004,"$1,345.85 ",Community well-being,8,1/1/04,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2005,"$1,350.88 ",Community well-being,8,1/1/05,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2006,"$1,301.62 ",Community well-being,8,1/1/06,23;38;39;40;41;42;43,Year 2017 US Dollars
soc_assist_capita_2007,"$1,324.75 ",Community well-being,8,1/1/07,23;38;39;40;41;42;43,Year 2017 US Dollars
