Estimate Status,Year,Region,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
FINAL,2013,MID-ATLANTIC,ALL SPECIES,"73,365,240",4.7,"211,493,605",3.3
FINAL,2013,SOUTH ATLANTIC,ALL SPECIES,"140,136,674",3.8,"231,880,244",2.8
FINAL,2013,GULF OF MEXICO,ALL SPECIES,"198,451,422",5.5,"275,219,207",2.5
FINAL,2013,HAWAIIAN ISLANDS,ALL SPECIES,"3,655,893",7.9,"288,461",11.7
FINAL,2013,TEXAS,ALL SPECIES,"2,009,146",.,.,.
FINAL,2013,ALASKA,ALL SPECIES,"1,596,058",.,"1,044,512",.
FINAL,2013,CARIBBEAN,ALL SPECIES,"497,202",37.1,"101,692",26.1
PRELIMINARY,2014,SOUTHERN CALIFORNIA,ALL SPECIES,"4,219,500",.,"3,880,828",.
PRELIMINARY,2014,NORTHERN CALIFORNIA,ALL SPECIES,"2,726,689",.,"1,107,622",.
PRELIMINARY,2014,PACIFIC NORTHWEST,ALL SPECIES,"1,233,698",.,"315,706",.
FINAL,2014,NORTH ATLANTIC,ALL SPECIES,"32,397,336",10.6,"47,242,689",5.2
FINAL,2014,MID-ATLANTIC,ALL SPECIES,"76,244,675",11.5,"164,239,701",4
FINAL,2014,SOUTH ATLANTIC,ALL SPECIES,"146,396,300",4.4,"257,501,426",2.6
FINAL,2014,GULF OF MEXICO,ALL SPECIES,"170,430,187",6.4,"222,561,483",4.9
FINAL,2014,HAWAIIAN ISLANDS,ALL SPECIES,"3,718,347",6.1,"435,356",7.9
FINAL,2014,TEXAS,ALL SPECIES,"1,628,564",.,.,.
FINAL,2014,ALASKA,ALL SPECIES,"1,482,243",.,"841,278",.
FINAL,2014,CARIBBEAN,ALL SPECIES,"1,164,741",17.3,"173,376",17.1
PRELIMINARY,2015,SOUTHERN CALIFORNIA,ALL SPECIES,"4,538,101",.,"3,363,604",.
PRELIMINARY,2015,NORTHERN CALIFORNIA,ALL SPECIES,"3,717,809",.,"1,311,687",.
PRELIMINARY,2015,PACIFIC NORTHWEST,ALL SPECIES,"1,263,842",.,"273,542",.
FINAL,2015,NORTH ATLANTIC,ALL SPECIES,"28,704,075",9.9,"39,961,399",5.6
FINAL,2015,MID-ATLANTIC,ALL SPECIES,"66,553,100",10.7,"155,087,914",4
FINAL,2015,SOUTH ATLANTIC,ALL SPECIES,"136,629,825",5.6,"240,420,387",2.8
FINAL,2015,GULF OF MEXICO,ALL SPECIES,"184,993,707",6.6,"182,317,335",3.2
FINAL,2015,HAWAIIAN ISLANDS,ALL SPECIES,"4,638,345",7.4,"540,752",7
FINAL,2015,TEXAS,ALL SPECIES,"1,916,624",.,.,.
FINAL,2015,ALASKA,ALL SPECIES,"1,623,355",.,"1,002,247",.
FINAL,2015,CARIBBEAN,ALL SPECIES,"612,419",12.1,"345,404",17.3
PRELIMINARY,2016,SOUTHERN CALIFORNIA,ALL SPECIES,"3,867,527",.,"3,648,775",.
PRELIMINARY,2016,NORTHERN CALIFORNIA,ALL SPECIES,"3,057,979",.,"1,106,630",.
PRELIMINARY,2016,PACIFIC NORTHWEST,ALL SPECIES,"1,074,633",.,"194,198",.
FINAL,2016,NORTH ATLANTIC,ALL SPECIES,"31,408,200",13.4,"54,142,321",5.6
FINAL,2016,MID-ATLANTIC,ALL SPECIES,"63,757,699",8.6,"193,088,156",7.1
FINAL,2016,SOUTH ATLANTIC,ALL SPECIES,"132,346,044",5.5,"244,826,430",3.1
FINAL,2016,GULF OF MEXICO,ALL SPECIES,"184,449,873",8.4,"208,331,764",3.5
FINAL,2016,HAWAIIAN ISLANDS,ALL SPECIES,"2,483,292",5.9,"382,255",6.6
FINAL,2016,TEXAS,ALL SPECIES,"2,207,497",.,.,.
FINAL,2016,ALASKA,ALL SPECIES,"1,382,575",.,"769,145",.
FINAL,2016,CARIBBEAN,ALL SPECIES,"1,178,263",13.2,"353,343",13.1
PRELIMINARY,2017,SOUTHERN CALIFORNIA,ALL SPECIES,"4,449,338",.,"3,881,040",.
PRELIMINARY,2017,NORTHERN CALIFORNIA,ALL SPECIES,"3,190,224",.,"1,293,349",.
PRELIMINARY,2017,PACIFIC NORTHWEST,ALL SPECIES,"1,072,189",.,"250,062",.
FINAL,2017,NORTH ATLANTIC,ALL SPECIES,"33,345,733",9,"65,619,658",5.3
FINAL,2017,MID-ATLANTIC,ALL SPECIES,"76,637,623",8.7,"187,752,268",4.5
FINAL,2017,SOUTH ATLANTIC,ALL SPECIES,"114,259,413",7.2,"208,495,043",3.2
FINAL,2017,GULF OF MEXICO,ALL SPECIES,"165,338,896",7,"242,874,584",3.4
FINAL,2017,HAWAIIAN ISLANDS,ALL SPECIES,"3,010,371",7.4,"420,579",7.8
FINAL,2017,TEXAS,ALL SPECIES,"2,035,153",.,.,.
FINAL,2017,ALASKA,ALL SPECIES,"1,405,534",.,"774,894",.
FINAL,2017,CARIBBEAN,ALL SPECIES,"585,672",40.3,"170,125",30.7
PRELIMINARY,2018,SOUTHERN CALIFORNIA,ALL SPECIES,"3,926,230",.,"2,935,950",.
PRELIMINARY,2018,NORTHERN CALIFORNIA,ALL SPECIES,"2,249,654",.,"748,657",.
PRELIMINARY,2018,PACIFIC NORTHWEST,ALL SPECIES,"941,739",.,"248,317",.
FINAL,2018,NORTH ATLANTIC,ALL SPECIES,"27,116,620",8.2,"51,127,979",5.8
FINAL,2018,MID-ATLANTIC,ALL SPECIES,"45,869,195",6.5,"125,833,615",3.3
FINAL,2018,SOUTH ATLANTIC,ALL SPECIES,"104,268,237",5.6,"219,445,503",4.3
FINAL,2018,GULF OF MEXICO,ALL SPECIES,"143,850,473",6.3,"203,804,059",3.4
FINAL,2018,HAWAIIAN ISLANDS,ALL SPECIES,"10,361,796",7.3,"1,286,232",7.2
FINAL,2018,TEXAS,ALL SPECIES,"1,716,843",.,.,.
FINAL,2018,ALASKA,ALL SPECIES,"1,213,329",.,"662,493",.
PRELIMINARY,2019,SOUTHERN CALIFORNIA,ALL SPECIES,"3,803,007",.,"2,761,898",.
PRELIMINARY,2019,NORTHERN CALIFORNIA,ALL SPECIES,"2,427,364",.,"790,032",.
PRELIMINARY,2019,PACIFIC NORTHWEST,ALL SPECIES,"1,193,075",.,"332,650",.
FINAL,2019,NORTH ATLANTIC,ALL SPECIES,"25,550,984",5.4,"45,214,537",3.9
FINAL,2019,MID-ATLANTIC,ALL SPECIES,"57,843,111",5.9,"157,004,471",3.4
FINAL,2019,SOUTH ATLANTIC,ALL SPECIES,"108,147,121",9.4,"203,371,971",2.8
FINAL,2019,GULF OF MEXICO,ALL SPECIES,"121,680,721",8.5,"198,563,391",3.2
FINAL,2019,HAWAIIAN ISLANDS,ALL SPECIES,"11,154,561",7.4,"1,087,986",8.3
FINAL,2019,TEXAS,ALL SPECIES,"2,307,531",.,.,.
PRELIMINARY,2020,SOUTH ATLANTIC,ALL SPECIES,"8,809,841",17.9,"15,876,252",14.9
PRELIMINARY,2020,GULF OF MEXICO,ALL SPECIES,"7,952,125",12.9,"32,276,228",7.9
PRELIMINARY,2020,HAWAIIAN ISLANDS,ALL SPECIES,"1,495,366",17,"223,074",17.8
